# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_7  B3V     -0.88  -0.21  -0.07  -0.15  -0.48  -0.61
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      13046.7      102.167
      13059.3      101.908
      13071.8      101.660
      13084.4      101.405
      13096.9      101.156
      13109.5      100.903
      13122.0      100.650
      13134.6      100.395
      13147.1      100.150
      13159.7      99.8896
      13172.2      99.6422
      13184.7      99.3898
      13197.3      99.1391
      13209.8      98.8890
      13222.4      98.6533
      13234.9      98.4171
      13247.5      98.1807
      13260.0      97.9338
      13272.6      97.6951
      13285.1      97.4560
      13297.7      97.2181
      13310.2      96.9777
      13322.8      96.7384
      13335.3      96.4988
      13347.9      96.2584
      13360.4      96.0185
      13373.0      95.7821
      13385.5      95.5378
      13398.0      95.3044
      13410.6      95.0747
      13423.1      94.8415
      13435.7      94.6167
      13448.2      94.3895
      13460.8      94.1656
      13473.3      93.9326
      13485.9      93.7084
      13498.4      93.4770
      13511.0      93.2534
      13523.5      93.0260
      13536.1      92.8023
      13548.6      92.5706
      13561.2      92.3466
      13573.7      92.1148
      13586.3      91.8934
      13598.8      91.6612
      13611.4      91.4434
      13623.9      91.2302
      13636.4      91.0115
      13649.0      90.7970
      13661.5      90.5799
      13674.1      90.3676
      13686.6      90.1446
      13699.2      89.9319
      13711.7      89.7169
      13724.3      89.4949
      13736.8      89.2834
      13749.4      89.0707
      13761.9      88.8511
      13774.5      88.6326
      13787.0      88.4245
      13799.6      88.2008
      13812.1      87.9971
      13824.7      87.7918
      13837.2      87.5807
      13849.7      87.3851
      13862.3      87.1689
      13874.8      86.9695
      13887.4      86.7627
      13899.9      86.5546
      13912.5      86.3487
      13925.0      86.1508
      13937.6      85.9390
      13950.1      85.7332
      13962.7      85.5262
      13975.2      85.3245
      13987.8      85.1138
      14000.3      84.9125
      14012.9      84.7187
      14025.4      84.5190
      14038.0      84.3226
      14050.5      84.1287
      14063.1      83.9306
      14075.6      83.7424
      14088.1      83.5416
      14100.7      83.3470
      14113.2      83.1489
      14125.8      82.9564
      14138.3      82.7642
      14150.9      82.5631
      14163.4      82.3755
      14176.0      82.1700
      14188.5      81.9807
      14201.1      81.7854
      14213.6      81.5950
      14226.2      81.4168
      14238.7      81.2264
      14251.3      81.0347
      14263.8      80.8537
      14276.4      80.6712
      14288.9      80.4802
      14301.5      80.2906
      14314.0      80.1114
      14326.5      79.9224
      14339.1      79.7342
      14351.6      79.5512
      14364.2      79.3643
      14376.7      79.1750
      14389.3      78.9947
      14401.8      78.8047
      14414.4      78.6295
      14426.9      78.4489
      14439.5      78.2755
      14452.0      78.0988
      14464.6      77.9167
      14477.1      77.7429
      14489.7      77.5677
      14502.2      77.3862
      14514.8      77.2104
      14527.3      77.0371
      14539.8      76.8540
      14552.4      76.6807
      14564.9      76.4992
      14577.5      76.3223
      14590.0      76.1485
      14602.6      75.9715
      14615.1      75.8046
      14627.7      75.6321
      14640.2      75.4629
      14652.8      75.2969
      14665.3      75.1241
      14677.9      74.9568
      14690.4      74.7847
      14703.0      74.6186
      14715.5      74.4525
      14728.1      74.2812
      14740.6      74.1129
      14753.2      73.9402
      14765.7      73.7761
      14778.2      73.6030
      14790.8      73.4337
      14803.3      73.2715
      14815.9      73.1048
      14828.4      72.9461
      14841.0      72.7873
      14853.5      72.6211
      14866.1      72.4628
      14878.6      72.2990
      14891.2      72.1435
      14903.7      71.9797
      14916.3      71.8175
      14928.8      71.6570
      14941.4      71.4943
      14953.9      71.3379
      14966.5      71.1768
      14979.0      71.0102
      14991.6      70.8539
      15004.1      70.6914
      15016.6      70.5394
      15029.2      70.3856
      15041.7      70.2346
      15054.3      70.0753
      15066.8      69.9216
      15079.4      69.7744
      15091.9      69.6174
      15104.5      69.4609
      15117.0      69.3093
      15129.6      69.1547
      15142.1      69.0037
      15154.7      68.8441
      15167.2      68.6958
      15179.8      68.5403
      15192.3      68.3874
      15204.9      68.2366
      15217.4      68.0864
      15229.9      67.9420
      15242.5      67.7971
      15255.0      67.6483
      15267.6      67.5018
      15280.1      67.3517
      15292.7      67.2121
      15305.2      67.0570
      15317.8      66.9186
      15330.3      66.7652
      15342.9      66.6228
      15355.4      66.4739
      15368.0      66.3235
      15380.5      66.1839
      15393.1      66.0317
      15405.6      65.8921
      15418.2      65.7465
      15430.7      65.6086
      15443.3      65.4671
      15455.8      65.3272
      15468.3      65.1879
      15480.9      65.0454
      15493.4      64.9104
      15506.0      64.7672
      15518.5      64.6218
      15531.1      64.4870
      15543.6      64.3458
      15556.2      64.2030
      15568.7      64.0642
      15581.3      63.9222
      15593.8      63.7829
      15606.4      63.6467
      15618.9      63.5109
      15631.5      63.3789
      15644.0      63.2439
      15656.6      63.1100
      15669.1      62.9773
      15681.7      62.8411
      15694.2      62.7085
      15706.7      62.5724
      15719.3      62.4410
      15731.8      62.3068
      15744.4      62.1714
      15756.9      62.0394
      15769.5      61.9014
      15782.0      61.7722
      15794.6      61.6384
      15807.1      61.5051
      15819.7      61.3766
      15832.2      61.2517
      15844.8      61.1194
      15857.3      60.9954
      15869.9      60.8646
      15882.4      60.7380
      15895.0      60.6077
      15907.5      60.4833
      15920.0      60.3535
      15932.6      60.2277
      15945.1      60.0949
      15957.7      59.9697
      15970.2      59.8437
      15982.8      59.7137
      15995.3      59.5872
      16007.9      59.4614
      16020.4      59.3351
      16033.0      59.2180
      16045.5      59.0924
      16058.1      58.9730
      16070.6      58.8482
      16083.2      58.7257
      16095.7      58.6017
      16108.3      58.4823
      16120.8      58.3566
      16133.3      58.2376
      16145.9      58.1147
      16158.4      57.9912
      16171.0      57.8667
      16183.5      57.7466
      16196.1      57.6198
      16208.6      57.5050
      16221.2      57.3874
      16233.7      57.2691
      16246.3      57.1531
      16258.8      57.0356
      16271.4      56.9162
      16283.9      56.7999
      16296.5      56.6826
      16309.0      56.5679
      16321.6      56.4474
      16334.1      56.3310
      16346.7      56.2142
      16359.2      56.0968
      16371.7      55.9777
      16384.3      55.8596
      16396.8      55.7488
      16409.4      55.6333
      16421.9      55.5153
      16434.5      55.4032
      16447.0      55.2968
      16459.6      55.1817
      16472.1      55.0734
      16484.7      54.9570
      16497.2      54.8410
      16509.8      54.7367
      16522.3      54.6150
      16534.9      54.5107
      16547.4      54.3959
      16560.0      54.2854
      16572.5      54.1654
      16585.1      54.0671
