# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_41  F8V      0.62   0.48   0.37   0.68   0.98   1.25
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      14091.3      374.114
      14103.7      373.611
      14116.0      373.124
      14128.4      372.662
      14140.8      372.174
      14153.1      371.658
      14165.5      371.185
      14177.8      370.696
      14190.2      370.229
      14202.5      369.705
      14214.9      369.202
      14227.2      368.705
      14239.6      368.187
      14252.0      367.684
      14264.3      367.161
      14276.7      366.645
      14289.0      366.165
      14301.4      365.635
      14313.7      365.127
      14326.1      364.627
      14338.4      364.096
      14350.8      363.595
      14363.1      363.080
      14375.5      362.581
      14387.9      362.053
      14400.2      361.566
      14412.6      361.062
      14424.9      360.532
      14437.3      360.044
      14449.6      359.523
      14462.0      359.014
      14474.3      358.501
      14486.7      358.032
      14499.1      357.504
      14511.4      356.991
      14523.8      356.466
      14536.1      355.985
      14548.5      355.478
      14560.8      354.949
      14573.2      354.467
      14585.5      353.956
      14597.9      353.457
      14610.3      352.907
      14622.6      352.383
      14635.0      351.866
      14647.3      351.347
      14659.7      350.810
      14672.0      350.279
      14684.4      349.768
      14696.7      349.216
      14709.1      348.707
      14721.5      348.158
      14733.8      347.654
      14746.2      347.116
      14758.5      346.576
      14770.9      346.072
      14783.2      345.534
      14795.6      344.996
      14807.9      344.478
      14820.3      343.919
      14832.7      343.350
      14845.0      342.825
      14857.4      342.277
      14869.7      341.715
      14882.1      341.159
      14894.4      340.620
      14906.8      340.051
      14919.1      339.522
      14931.5      338.970
      14943.8      338.412
      14956.2      337.858
      14968.6      337.310
      14980.9      336.766
      14993.3      336.219
      15005.6      335.653
      15018.0      335.116
      15030.3      334.547
      15042.7      333.992
      15055.0      333.441
      15067.4      332.874
      15079.8      332.318
      15092.1      331.761
      15104.5      331.211
      15116.8      330.642
      15129.2      330.089
      15141.5      329.557
      15153.9      328.984
      15166.2      328.401
      15178.6      327.877
      15191.0      327.317
      15203.3      326.750
      15215.7      326.226
      15228.0      325.714
      15240.4      325.172
      15252.7      324.649
      15265.1      324.102
      15277.4      323.574
      15289.8      323.059
      15302.1      322.518
      15314.5      321.991
      15326.9      321.462
      15339.2      320.948
      15351.6      320.397
      15363.9      319.866
      15376.3      319.346
      15388.6      318.800
      15401.0      318.318
      15413.3      317.845
      15425.7      317.409
      15438.1      316.989
      15450.4      316.551
      15462.8      316.120
      15475.1      315.668
      15487.5      315.253
      15499.8      314.802
      15512.2      314.360
      15524.5      313.943
      15536.9      313.500
      15549.3      313.055
      15561.6      312.621
      15574.0      312.195
      15586.3      311.743
      15598.7      311.339
      15611.0      310.888
      15623.4      310.508
      15635.7      310.061
      15648.1      309.667
      15660.5      309.277
      15672.8      308.835
      15685.2      308.431
      15697.5      308.011
      15709.9      307.622
      15722.2      307.189
      15734.6      306.782
      15746.9      306.373
      15759.3      305.968
      15771.6      305.525
      15784.0      305.142
      15796.4      304.730
      15808.7      304.441
      15821.1      304.252
      15833.4      304.042
      15845.8      303.809
      15858.1      303.631
      15870.5      303.389
      15882.8      303.214
      15895.2      302.983
      15907.6      302.774
      15919.9      302.567
      15932.3      302.350
      15944.6      302.158
      15957.0      301.938
      15969.3      301.707
      15981.7      301.527
      15994.0      301.316
      16006.4      301.122
      16018.8      300.995
      16031.1      300.865
      16043.5      300.733
      16055.8      300.580
      16068.2      300.449
      16080.5      300.298
      16092.9      300.171
      16105.2      300.046
      16117.6      299.890
      16130.0      299.748
      16142.3      299.617
      16154.7      299.470
      16167.0      299.361
      16179.4      299.202
      16191.7      299.051
      16204.1      298.833
      16216.4      298.444
      16228.8      298.058
      16241.1      297.656
      16253.5      297.289
      16265.9      296.860
      16278.2      296.483
      16290.6      296.099
      16302.9      295.687
      16315.3      295.302
      16327.6      294.910
      16340.0      294.518
      16352.3      294.107
      16364.7      293.729
      16377.1      293.357
      16389.4      292.933
      16401.8      292.488
      16414.1      291.904
      16426.5      291.298
      16438.8      290.724
      16451.2      290.056
      16463.5      289.481
      16475.9      288.870
      16488.3      288.238
      16500.6      287.646
      16513.0      287.035
      16525.3      286.431
      16537.7      285.806
      16550.0      285.188
      16562.4      284.640
      16574.7      283.965
      16587.1      283.378
      16599.4      282.786
      16611.8      282.281
      16624.2      281.817
      16636.5      281.352
      16648.9      280.861
      16661.2      280.389
      16673.6      279.899
      16685.9      279.426
      16698.3      278.952
      16710.6      278.506
      16723.0      277.991
      16735.4      277.539
      16747.7      277.027
      16760.1      276.610
      16772.4      276.099
      16784.8      275.634
      16797.1      275.161
      16809.5      274.722
      16821.8      274.299
      16834.2      273.899
      16846.6      273.487
      16858.9      273.075
      16871.3      272.664
      16883.6      272.262
      16896.0      271.841
      16908.3      271.413
      16920.7      271.016
      16933.0      270.578
      16945.4      270.188
      16957.8      269.779
      16970.1      269.357
      16982.5      268.942
      16994.8      268.516
      17007.2      268.080
      17019.5      267.532
      17031.9      267.037
      17044.2      266.489
