# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_1  O5      -1.42  -0.34  -0.14  -0.29  -0.76  -0.93
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      7613.77      403.556
      7626.31      407.478
      7638.86      398.260
      7651.41      393.033
      7663.96      381.312
      7676.50      356.665
      7689.05      358.125
      7701.60      369.902
      7714.15      373.835
      7726.69      375.998
      7739.24      376.603
      7751.79      371.682
      7764.33      368.049
      7776.88      368.754
      7789.43      369.849
      7801.98      369.696
      7814.52      365.270
      7827.07      361.176
      7839.62      357.590
      7852.16      353.611
      7864.71      349.432
      7877.26      345.162
      7889.81      342.417
      7902.35      340.781
      7914.90      340.694
      7927.45      341.215
      7939.99      342.473
      7952.54      345.691
      7965.09      346.654
      7977.64      344.287
      7990.18      345.481
      8002.73      347.002
      8015.28      346.225
      8027.83      347.510
      8040.37      349.918
      8052.92      350.474
      8065.47      348.555
      8078.02      343.582
      8090.56      335.370
      8103.11      330.048
      8115.66      333.847
      8128.20      335.520
      8140.75      334.259
      8153.30      327.035
      8165.85      322.039
      8178.39      320.451
      8190.94      318.742
      8203.49      314.267
      8216.03      304.314
      8228.58      301.524
      8241.13      304.673
      8253.68      315.430
      8266.22      317.547
      8278.77      311.241
      8291.32      315.186
      8303.86      318.600
      8316.41      315.964
      8328.96      314.901
      8341.51      311.898
      8354.05      298.800
      8366.60      296.786
      8379.15      305.476
      8391.70      311.544
      8404.24      314.736
      8416.79      314.036
      8429.34      312.512
      8441.88      310.493
      8454.43      307.881
      8466.98      304.056
      8479.53      300.248
      8492.07      302.477
      8504.62      304.697
      8517.17      304.569
      8529.72      298.308
      8542.26      292.546
      8554.81      295.259
      8567.36      292.953
      8579.90      286.543
      8592.45      281.111
      8605.00      279.678
      8617.55      283.302
      8630.09      283.693
      8642.64      284.386
      8655.19      288.926
      8667.73      292.801
      8680.28      295.028
      8692.83      292.505
      8705.38      290.947
      8717.92      291.469
      8730.47      289.488
      8743.02      287.231
      8755.57      286.431
      8768.11      287.075
      8780.66      288.719
      8793.21      291.294
      8805.76      291.673
      8818.30      289.352
      8830.85      286.998
      8843.40      282.000
      8855.94      271.433
      8868.49      265.601
      8881.04      263.971
      8893.59      267.751
      8906.13      268.719
      8918.68      266.444
      8931.23      267.644
      8943.78      265.675
      8956.32      255.858
      8968.87      249.425
      8981.42      244.853
      8993.96      240.499
      9006.51      242.624
      9019.06      250.907
      9031.61      260.292
      9044.15      261.382
      9056.70      248.077
      9069.25      242.234
      9081.80      242.452
      9094.34      250.473
      9106.89      251.058
      9119.44      245.237
      9131.98      242.954
      9144.53      240.376
      9157.08      236.695
      9169.63      242.342
      9182.17      249.410
      9194.72      249.198
      9207.27      247.825
      9219.81      245.734
      9232.36      241.717
      9244.91      239.556
      9257.46      241.138
      9270.00      249.909
      9282.55      261.200
      9295.10      271.556
      9307.65      260.392
      9320.19      239.736
      9332.74      247.225
      9345.29      245.017
      9357.83      226.321
      9370.38      234.509
      9382.93      248.615
      9395.48      254.291
      9408.02      244.086
      9420.57      226.551
      9433.12      218.955
      9445.66      220.628
      9458.21      230.149
      9470.76      227.620
      9483.31      224.027
      9495.85      226.223
      9508.40      229.818
      9520.95      233.620
      9533.50      235.976
      9546.04      229.133
      9558.59      214.450
      9571.14      213.902
      9583.69      215.521
      9596.23      213.645
      9608.78      213.664
      9621.33      212.800
      9633.87      204.691
      9646.42      202.188
      9658.97      205.718
      9671.52      208.955
      9684.06      209.715
      9696.61      206.423
      9709.16      205.323
      9721.71      205.145
      9734.25      204.311
      9746.80      205.019
      9759.35      206.358
      9771.89      202.203
      9784.44      200.186
      9796.99      203.432
      9809.53      202.761
      9822.08      201.696
      9834.63      204.484
      9847.18      203.979
      9859.72      200.867
      9872.27      199.657
      9884.82      201.023
      9897.37      205.309
      9909.91      205.274
      9922.46      201.860
      9935.01      194.123
      9947.55      192.635
      9960.10      195.386
      9972.65      195.897
      9985.20      193.400
      9997.74      188.011
      10010.3      188.383
      10022.8      185.833
      10035.4      171.471
      10047.9      164.399
      10060.5      165.434
      10073.0      179.127
      10085.6      181.351
      10098.1      168.440
      10110.7      168.277
      10123.2      170.537
      10135.8      169.139
      10148.3      171.235
      10160.9      174.055
      10173.4      170.738
      10186.0      170.547
      10198.5      174.379
      10211.0      175.634
      10223.6      177.153
      10236.1      180.591
      10248.7      180.849
      10261.2      178.489
      10273.8      172.730
      10286.3      169.598
      10298.9      169.186
      10311.4      166.590
      10324.0      165.266
      10336.5      167.149
      10349.1      167.936
      10361.6      165.727
      10374.2      155.716
      10386.7      153.178
      10399.3      158.067
      10411.8      161.831
      10424.4      162.051
      10436.9      157.417
      10449.4      159.940
      10462.0      162.007
      10474.5      153.007
